SY,GE,VEND,ITEM,VOL_EQ,FLAVOR/SCENT,FORM,PACKAGE,PRODUCT TYPE,SA BRAND,SA MARKET,SA PRIMARY MARKET,SPECIALITY NAME,STORE LOCATION,ADDITIVES,REFILL TYPE,SIZE,TYPE OF FORMULA,USER INFO,BRUSH HEAD SHAPE,COLOR,NUMBER OF TREATMENTS,TREATMENT,TYPE OF DENTAL ACCS,TYPE OF TOOTHPASTE,USAGE
0,1,18515,27239,0.2188,COOL MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHITENING ANTI STAIN,ADULT,MISSING,BLU,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,18515,24224,0.2188,COOL MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHITENING ANTI STAIN,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,18515,27224,0.2188,COOL MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHITENING ANTI STAIN,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,18515,27237,0.2188,COOL MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,18515,24233,0.125,MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE & PEROXIDE,MISSING,MISSING,WHITENING ANTI CAVTY,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,18515,27233,0.125,MINT,PASTE AND GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE & PEROXIDE,MISSING,MISSING,WHITENING ANTI CAVTY,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,18515,27236,0.2188,PEPPERMINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHITENING ANTI STAIN,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,18515,28613,0.1875,REGULAR,GEL,STANDING TUBE,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,MISSING,MISSING,MISSING,SENSITIVE TTH&WHTNNG,ADULT&CHILD OVER 12,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,18515,27255,0.2188,REGULAR,GEL,STANDING TUBE,MISSING,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHITENING ANTI STAIN,ADULT & CHILD OVER 6,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,18515,23616,0.4063,WINTERGREEN,ASSORTED,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE & PEROXIDE,MISSING,VALUE PACK,SMOKER,ADULT&CHILD OVER 12,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,18515,27236,0.2188,COOL MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM MONOFLRPHSPHT,MISSING,MISSING,WHITENING ANTI CAVTY,ADULT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
8,1,70929,200,0.4063,MISSING,PASTE,STANDING TUBE,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHITENING ANTI CAVTY,ADULT & CHILD OVER 2,MISSING,RED,MISSING,MISSING,MISSING,MISSING,MISSING
8,1,70929,451,0.4063,CINNAMON,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTN ANTC BRTH FRSH,ADULT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
8,1,70929,452,0.4063,PEPPERMINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTN ANTC BRTH FRSH,ADULT,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
8,1,70929,201,0.4063,PEPPERMINT ICE,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTN ANTC BRTH FRSH,ADULT,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
8,1,70929,202,0.4063,SPEARMINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM MONOFLRPHSPHT,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
