SY,GE,VEND,ITEM,VOL_EQ,FLAVOR/SCENT,FORM,PACKAGE,PRODUCT TYPE,SA BRAND,SA MARKET,SA PRIMARY MARKET,SPECIALITY NAME,STORE LOCATION,ADDITIVES,REFILL TYPE,SIZE,TYPE OF FORMULA,USER INFO,BRUSH HEAD SHAPE,COLOR,NUMBER OF TREATMENTS,TREATMENT,TYPE OF DENTAL ACCS,TYPE OF TOOTHPASTE,USAGE
0,1,35000,77289,0.5125,MINT,PASTE AND GEL,PLASTIC WRAPPED BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,TARTAR CONTRL WHTNNG,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,57093,0.2875,MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,TARTAR CONTRL WHTNNG,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,78203,0.8,MINT,PASTE AND GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLRD AND BAKING SODA,MISSING,TWIN PACK,TARTAR CONTRL WHTNNG,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,58000,30032,0.2344,MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,TARTAR CONTROL,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,57003,1.2,MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,MISSING,MISSING,TRIPLE PACK,TARTAR CONTROL,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,58000,30031,0.225,MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,MISSING,TARTAR CONTROL,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,35000,74111,1.025,MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,TWIN PACK,WHTNN TRT CTR AN CVT,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,74107,1.025,MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,BAKINGSDA & PEROXIDE,MISSING,TWIN PACK,WHITENING,ADULT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,59600,0.4,REGULAR,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY TRTR CTL,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,77286,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,MISSING,MISSING,TWIN PACK,ANTI CAVITY TRTR CTL,MISSING,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,56900,0.1688,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY TRTR CTL,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,88888,0.2875,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY TRTR CTL,ADULT & CHILD,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,57277,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY TRTR CTL,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,76006,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY ANTIPLAQ,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
27,1,4200,51344,2.05,REGULAR,PASTE,ASSORTED,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ASSORTED,ASSORTED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
6,1,72935,10309,0.0531,REGULAR,PASTE,PEG CARD BLISTER PCK,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,72935,10309,0.0531,REGULAR,PASTE,PLASTIC WRAPPED,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,72600,0.375,REGULAR,PASTE,STANDING TUBE,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,71031,93012,0.0531,CLEAN MINT,PASTE,TUBE IN BOX,TOOTHPASTE&TOOTHBRSH,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,TRAVEL,WHT ANT GNGTRTCNTANT,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,58000,151,0.2688,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
27,1,15600,1074,0.4,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,8511,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,35000,51009,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,51307,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,35000,51377,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,57014,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,77288,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,77294,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,51420,0.575,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,TWIN PACK,ANTI CAVITY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,55703,1.025,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,35000,51403,1.2,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,TRIPLE PACK,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,51416,1.4375,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,51305,1.5375,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,TRIPLE PACK,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,51309,1.6,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,FOUR PACK,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,35000,51344,2.05,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,52532,0.0625,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,POTASSIUM NITRATE,MISSING,MISSING,ANTI CAVITY,ADULT&CHILD OVER 12,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,50302,0.0813,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,35000,51400,0.2875,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,50900,0.4,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,78204,0.8,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,TWIN PACK,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,50300,0.0938,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,50500,0.1688,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,77297,0.2188,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,51300,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,51382,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
27,1,4206,64631,4.05,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,CAVITY PROTECTION,ADULT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,50200,0.0531,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,MISSING,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,74412,0.1875,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,MISSING,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,3,35000,50902,0.8,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,TWIN PACK,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,99999,8871,0.8,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,TWIN PACK,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,51002,1.5375,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,TRIPLE PACK,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,58000,30027,0.1875,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,MISSING,MISSING,MISSING,FLUORIDE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,35000,51370,0.5125,REGULAR,PASTE,PLASTIC WRAPPED BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,REGULAR,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,76165,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,BAKINGSDA & PEROXIDE,MISSING,FAMILY,REGULAR,ADULT & CHILD,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
27,1,4206,67575,1.125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,SNSTV WHTNNG ANT-CVT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,75910,2.05,REGULAR,MISSING,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,BAKINGSDA & PEROXIDE,MISSING,MISSING,TARTAR CONTRL WHTNNG,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,76123,0.8,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,BKSODA PEROXIDE FLRD,MISSING,TWIN PACK,TARTAR CONTRL WHTNNG,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,51421,0.575,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,TWIN PACK,TARTAR CONTRL WHTNNG,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,59777,0.5125,REGULAR,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,TARTAR CONTROL,ADULT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,76194,1.5375,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,BAKINGSDA & PEROXIDE,MISSING,TRIPLE PACK,WHTN ANTC BRTH FRSH,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,76255,0.475,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,FAMILY,WHITENING ANTI CAVTY,ADULT,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,51308,0.8625,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,TRIPLE PACK,WHITENING ANTI CAVTY,ADULT & CHILD OVER 6,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,57098,0.2875,REGULAR,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,57124,0.8,REGULAR,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,78205,0.8,REGULAR,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,55704,1.025,REGULAR,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,57122,0.8,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,BKSODA PEROXIDE FLRD,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,76122,0.8,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,BKSODA PEROXIDE FLRD,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,78207,0.8,REGULAR,PASTE AND GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,BKSODA PEROXIDE FLRD,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,55702,1.025,REGULAR,PASTE AND GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,77290,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,BKSODA PEROXIDE FLRD,MISSING,MISSING,WHITENING,FAMILY,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,58000,30028,0.2344,WINTERFRESH,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY TRTR CTL,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,58800,0.5125,WINTERFRESH,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,74403,0.4875,WINTERFRESH,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,FAMILY,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,58700,0.4,WINTERFRESH,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,BLU,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,58600,0.2875,WINTERFRESH,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,LARGE,CAVITY PROTECTION,ADULT & CHILD OVER 6,MISSING,BLU,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,58500,0.1688,WINTERFRESH,GEL,PLASTIC TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MEDIUM,REGULAR,ADULT,MISSING,BLU,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,35000,58877,0.5125,WINTERFRESH,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,REGULAR,ADULT,MISSING,BLU,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,76523,0.2875,WATERMELON,LIQUID GEL,NEAT SQUEEZE DSPNSR,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,MISSING,ANTI CAVITY,KIDS,MISSING,RED,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,76517,0.2875,WATERMELON,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
27,5,704,99108,0.5125,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,51430,2.5625,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,FIVE PACK,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
27,1,4206,98227,2.5625,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,FIVE PACK,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
78,1,91024,14901,0.1056,MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,50909,0.175,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,CAVITY PROTECTION,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,74459,0.175,BRISK MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,BKSODA PEROXIDE FLRD,MISSING,MISSING,WHITENING,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,35000,74458,0.175,CRISP MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD OVER 2,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
27,1,717,56749,0.2875,WATERMELON,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 6,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
