"","PANID","WEEK","brand_10158","brand_33200","brand_35000","brand_37000","brand_53100","brand_77326","Combined.Pre.Tax.Income.of.HH","MALE_SMOKE","FEM_SMOKE","LOYALTY.10158","LOYALTY.33200","LOYALTY.35000","LOYALTY.37000","LOYALTY.53100","LOYALTY.77326","LOYALTY.0","AVGRATE.0","DISPLAY.0","PRICEREDUCTION.0","FEATURE.0","AVGRATE.10158","DISPLAY.10158","PRICEREDUCTION.10158","FEATURE.10158","AVGRATE.33200","DISPLAY.33200","PRICEREDUCTION.33200","FEATURE.33200","AVGRATE.35000","DISPLAY.35000","PRICEREDUCTION.35000","FEATURE.35000","AVGRATE.37000","DISPLAY.37000","PRICEREDUCTION.37000","FEATURE.37000","AVGRATE.53100","DISPLAY.53100","PRICEREDUCTION.53100","FEATURE.53100","AVGRATE.77326","DISPLAY.77326","PRICEREDUCTION.77326","FEATURE.77326","choice","choiceLabel"
"17","1100214","1467",0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,20.5830042537228,0,1,2,17.3105882352941,2,1,4,7.66619144190751,0,1,3,5.91538834623749,2,1,4,8.2987773416145,2,1,3,6.3386401212659,2,1,4,13.8153846153846,2,1,0,3,"35000"
"18","1100248","1430",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,17.5845134135451,0,1,2,21.76,0,0,0,6.7040165033595,1,1,2,6.56513121410465,2,1,2,7.58175476290244,2,1,4,8.54136856853817,1,1,0,14.0940170940171,0,0,0,5,"53100"
"19","1100248","1436",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,17.8726664276744,0,0,0,19.72,1,1,2,9.69844949449185,1,1,0,9.15596172522389,1,1,2,7.95654933780121,2,1,3,6.15074707912411,2,1,4,13.8153846153846,0,0,0,5,"53100"
"20","1100248","1436",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,17.8726664276744,0,0,0,19.72,1,1,2,9.69844949449185,1,1,0,9.15596172522389,1,1,2,7.95654933780121,2,1,3,6.15074707912411,2,1,4,13.8153846153846,0,0,0,5,"53100"
"21","1100248","1436",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,17.8726664276744,0,0,0,19.72,1,1,2,9.69844949449185,1,1,0,9.15596172522389,1,1,2,7.95654933780121,2,1,3,6.15074707912411,2,1,4,13.8153846153846,0,0,0,5,"53100"
"22","1100248","1436",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,17.8726664276744,0,0,0,19.72,1,1,2,9.69844949449185,1,1,0,9.15596172522389,1,1,2,7.95654933780121,2,1,3,6.15074707912411,2,1,4,13.8153846153846,0,0,0,5,"53100"
"23","1100248","1450",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,18.5951585884604,2,0,2,21.212,0,1,2,8.73515613940713,2,1,2,7.97735718127644,0,1,4,8.29407268723336,2,1,4,4.67589338432636,2,1,3,13.2800744618965,1,0,0,5,"53100"
"24","1100255","1439",0,0,1,0,0,0,4,0,0,0,0,0.5,0,0.5,0,0,17.4870812192321,0,1,0,20.9418181818182,0,1,0,8.51901329032928,0,0,0,8.32674388637958,2,1,3,8.56798937804554,2,1,3,6.85177262388196,0,1,3,14.2479972104798,1,1,0,3,"35000"
"25","1100255","1457",0,0,0,0,1,0,4,0,0,0,0,0.5,0,0.5,0,0,18.0849830530377,0,1,0,22.0266666666667,0,0,0,7.70693002749756,0,0,0,8.61230426608238,0,1,3,7.71152937039474,2,1,3,6.1285042558086,1,1,0,9.30666666666667,0,1,2,5,"53100"
"26","1100321","1445",0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,19.6707634065637,0,0,0,19.0727272727273,2,1,2,10.8478610603291,0,1,0,8.01088288390648,0,1,3,6.58633572714133,1,1,3,6.09580157257318,1,1,0,16.1953846153846,0,0,0,4,"37000"
